,en
"rose 1.json_23","Arron affectionately rubbed Rose's head and ears in response to her effort."
"rose 1.json_24","(What am I even thinking, starting it this way...)"
"rose 1.json_25","Rose's left hand unconsciously moved to her drenched pussy."
"rose 1.json_26","Mm... Master, pet me more..."
"rose 1.json_27","You are such a spoiled girl, aren't you."
"rose 1.json_28","Just a little bit more..."
"rose 1.json_29","..."
"rose 1.json_30","Here it comes..."
"rose 1.json_31","...!"
"rose 1.json_32","In last second Rose released Master's penis from her mouth, making it shoot all over her face."
"rose 1.json_33","Ah... Jeez."
"rose 1.json_34","Oh-ho... Still not comfortable with swallowing?"
"rose 1.json_35","Sorry, Master..."
"rose 1.json_36","It's okay. Are you ready to continue?"
"rose 1.json_37","Arron's penis still stood hard despite just coming, much to Rose's relief."
"rose 1.json_38","Rose swiftly moved on top of him."
"rose 1.json_39","Just look how wet you are from merely sucking a dick. "
"rose 1.json_40","I-It's your fault, making me like that..."
"rose 1.json_41","Aha, talking back to your Master? And putting it in without permission as well?"
"rose 1.json_42","Ignoring her Master's mocking, Rose longingly landed on his cock."
"rose 1.json_43","Master... "
"rose 1.json_44","Mhmm, you seem really desperate. Fine, I will excuse it this time."
"rose 1.json_45","This is... because you didn't approach me for so long... Ah!"
"rose 1.json_46","He-he... So my plan has worked."
"rose 1.json_47","Ah... Stupid..."
"rose 1.json_48","Rose was losing herself to pleasure with every move."
"rose 1.json_49","It always surprised her, how different she was acting in contrast with her everyday uptight personality."
"rose 1.json_50","I feel so full..."
"rose 1.json_51","With each movement Rose's gasps grew deeper and deeper."
"rose 1.json_52","Oh, I love your passion..."
"rose 1.json_53","I'm almost there..."
"rose 1.json_54","Ah... Master, please, hug me!"
"rose 1.json_55","Not waiting for a reply, Rose embraced and kissed her Master, as his seed filled her womb. "
"rose 1.json_56","Aaaaaaaaah!"
"rose 1.json_57","..."
"rose 1.json_58","Umh... "
"rose 1.json_59","Ah... I did it again..."
"rose 1.json_60","Good girl. Alight, you can sleep together with me."
"rose 1.json_61","..."
"rose 1.json_62","Rose weakly nodded and buried her face into Arron's chest."
"demitrius 1.json_1","Hmm, what's up with the commotion? "
"demitrius 1.json_2","I'm not sure. Looks like someone popular pays us a visits?"
"demitrius 1.json_3","Hey you, what's going on? "
"demitrius 1.json_4","What, are you some country bumpkin? It's the Ancestral Cult's priest. "
"demitrius 1.json_5","What cult?"
"demitrius 1.json_6","Ancestral Cult. They are the most popular religious group around here. It seems even goblins give them high regards."
"demitrius 1.json_7","I see. Anyway, what's up with the disrespect? Don't you know I'm your mayor?"
"demitrius 1.json_8","Whatever, dumbass. I didn't vote for you. "
"demitrius 1.json_9","That bastard... Rose, we should build a jail. And maybe invent new laws to punish disrespectful folk."
"demitrius 1.json_10","Maybe we should see why this priest came by instead? You know, as your duty as mayor."
"demitrius 1.json_11","Fine. But I refuse to treat him seriously on the inside. "
"demitrius 1.json_12","Maybe you should, given he probably has more authority here than you."
"demitrius 1.json_13","...This is why you should always keep your eyes open and report and suspicious activities."
"demitrius 1.json_14","Hmm? You must be the new ruler of this village. My name is Demitrius. Pleased to meet you."
"demitrius 1.json_15","This is the Mayor, Sir Arron. And my name is Rose. We are pleased to meet you as well."
"demitrius 1.json_16","Hmm? What were you talking about just now?"
"demitrius 1.json_17","This is my mission, to explain to everyone the danger of Demons. Since you had no idea, allow me to repeat myself for you."
"demitrius 1.json_18","(propose a choice: a. Listen obediently, b. Listen disinterestedly both choices lead to same conclusion)"
"demitrius 1.json_19","Despite how peaceful this world might look to you, there's evil beings we call Demons, who always aim to invade and destroy all which is good for us."
"demitrius 1.json_20","Seems nasty. Why would they do this?"
"demitrius 1.json_21","They feed from the world's life energy and since their world has became a barren wasteland, they have been attempting to come here for centuries."
"demitrius 1.json_22","But what do they look like?"
"demitrius 1.json_23","They take many forms, but mostly they disguise as sentient beings. This is why you should be especially careful around any strangers. They might lie how they lost their memory or came from some other world, but our interrogations have shown it all to be lies."
"demitrius 1.json_24","Anyone, looking suspicious or having appeared from nowhere should be reported to Ancestral Cult immediately. We are doing our best to keep the peace. "
"demitrius 1.json_25","*Gulp*"
"demitrius 1.json_26","You are doing God's work, Demitrius, we'll make sure to contact you immediately. "
"demitrius 1.json_27","If that's the only thing you've came for, we can do our best to help you with supplies on your way back."
"demitrius 1.json_28","I'm glad you asked. In fact, I have a cult's mission on my shoulders, I'd be pleased to have your help. "
"demitrius 1.json_29","What could it be?"
"demitrius 1.json_30","There has been a report about an unknown artifact located in nearby caverns. Sometimes such things appear in our world and if it's connected to Demons, it's my job to ensure it's harmless."
"demitrius 1.json_31","As you can see, I'm no fighter, so your escort would be greatly appreciated."
"demitrius 1.json_32","(With all respect, I think it would be best for us to refuse this task.)"
"demitrius 1.json_33","Of course our mayor will gladly help you out, Father. He often skirmishes outside and can handle himself in battle."
"demitrius 1.json_34","... I guess we should've hurried with making those new laws."
"demitrius 1.json_35","I mean, we gladly will help you out, Father Demitrius."
"demitrius 1.json_36","I'm glad to know this village is so highly spirited. Once you prepare, I'll be waiting for you at the exit."
"demitrius 2.json_1","As Dimitrus goes slightly behind the group, Rose talks to the Arron."
"demitrius 2.json_2","We are in a tight spot here. "
"demitrius 2.json_3","If our origin goes public, they will certainly proclaim us to be demons."
"demitrius 2.json_4","Relax, he does not seem to suspect anything."
"demitrius 2.json_5","Once we are done with his task, he's going to leave and it will be all good."
"demitrius 2.json_6","I suppose..."
"demitrius 2.json_7","The villagers do seem to pay him great respect though."
"demitrius 2.json_8","Thankfully, it does not seem like they actually believe in this whole demon idea."
"demitrius 2.json_9","Of course it's all nonsense."
"demitrius 2.json_10","EH? You were listening all this time?"
"demitrius 2.json_11","Don't worry, my lips are shut."
"demitrius 2.json_12","Unless you are interested in my oral skills."
"demitrius 2.json_13","*Sigh* Let's just get this over with."
"demitrius 3.json_1","The team arrives at the dark room room with a small, generic box placed on a ruined altar."
"demitrius 3.json_2","Yes, this seems to be the thing from my reports. "
"demitrius 3.json_3","You have my deep gratitude, Arron. "
"demitrius 3.json_4","It's been a pleasure."
"demitrius 3.json_5","Demitrius approaches and closely inspects the box."
"demitrius 3.json_6","As he removes the lid, a thick fog bursts out and fills the room."
"demitrius 3.json_7","Ah!"
"demitrius 3.json_8","What the..."
"demitrius 3.json_9","Curses!"
"demitrius 3.json_10","*Cough* *Cough*"
"demitrius 3.json_11","Darn it..."
"demitrius 3.json_12","Ugh... What was that..."
"demitrius 3.json_13","Is everyone alright?"
"demitrius 3.json_14","More or less."
"demitrius 3.json_15","Freeze. I know who you are!"
"demitrius 3.json_16","Eh?"
"demitrius 3.json_17","You are not of this world!"
"demitrius 3.json_18","It showed me your demonic nature!"
"demitrius 3.json_19","Uh... Let's calm down. How about we reasonably discuss it?"
"demitrius 3.json_20","You must take me for a fool, if you think you can delude me with your lies."
"demitrius 3.json_21","Surrender now, or face the Ancestor’s Wrath!"
